"ФО","Субъект","Рабочая сила","уровень занятости","уровень безработицы"
"Центральный","Белгородская область","825","61.3","3.7"
"Центральный","Брянская область","581","56.5","3.2"
"Центральный","Владимирская область","715","61.5","2.6"
"Центральный","Воронежская область","1187","58.5","3.5"
"Центральный","Ивановская область","518","60.1","3.1"
"Центральный","Калужская область","537","61.4","3.9"
"Центральный","Костромская область","307","57.1","3.4"
"Центральный","Курская область","554","58.4","3.0"
"Центральный","Липецкая область","596","60.7","3.7"
"Центральный","Московская область","4151","63.1","3.1"
"Центральный","Орловская область","344","53.9","4.0"
"Центральный","Рязанская область","527","54.9","2.9"
"Центральный","Смоленская область","481","59.2","3.5"
"Центральный","Тамбовская","503","57.0","3.3"
"Центральный","Тверская","635","58.4","3.8"
"Центральный","Тульская область","790","61.2","3.6"
"Центральный","Ярославская область","643","58.9","5.0"
"Центральный","г. Москва","7260","65.8","2.2"
"Северо-Западный","Республика Карелия","293","54.8","5.8"
"Северо-Западный","Республика Коми","401","56.7","6.7"
"Северо-Западный","Ненецкий автономный округ","24","65.9","7.4"
"Северо-Западный","Архангельская область","523","55.1","5.5"
"Северо-Западный","Вологодская область","551","56.6","3.4"
"Северо-Западный","Калининградская область","545","62.3","3.1"
"Северо-Западный","Ленинградская область","1057","63.3","3.3"
"Северо-Западный","Мурманская область","396","62.3","4.8"
"Северо-Западный","Новгородская область","287","56.4","3.1"
"Северо-Западный","Псковская область","308","56.5","4.0"
"Северо-Западный","г. Санкт-Петербург","3095","66.9","1.8"
"Северо-Кавказский","Республика Дагестан","1432","52.7","12.1"
"Северо-Кавказский","Республика Ингушетия","278","52.1","28.5"
"Северо-Кавказский","Кабардино-Балкарская Республика","449","58.5","10"
"Северо-Кавказский","Карачаево-Черкесская Республика","218","52","9.8"
"Северо-Кавказский","Республика Северная Осетия-Алания","320","51","11.9"
"Северо-Кавказский","Чеченская Республика","655","56.5","11"
"Северо-Кавказский","Ставропольский край","1380","57.5","4.3"
"Сибирский","Республика Алтай","95","52.4","9.8"
"Сибирский","Республика Тыва","129","52.4","9.5"
"Сибирский","Республика Хакасия","255","58.5","3.3"
"Сибирский","Алтайский край","1163","59.3","3.7"
"Сибирский","Красноярский край","1410","59.2","2.7"
"Сибирский","Иркутская область","1154","58.3","5"
"Сибирский","Кемеровская область","1247","55.5","4.1"
"Сибирский","Новосибирская область","1396","58.4","4.7"
"Сибирский","Омская область","984","60.1","5.3"
"Сибирский","Томская область","534","57.7","5.2"
"Дальневосточный","Республика Бурятия","426","52.2","7.4"
"Дальневосточный","Республика Саха(Якутия)","503","62.1","6.5"
"Дальневосточный","Забайкальский край","509","56.1","8.7"
"Дальневосточный","Камчатский край","178","67.3","2.9"
"Дальневосточный","Приморский край","983","60.9","3.4"
"Дальневосточный","Хабаровский край","705","64.7","2.6"
"Дальневосточный","Амурская область","402","60.9","4.2"
"Дальневосточный","Магаданская область","84","69.9","4.1"
"Дальневосточный","Сахалинская область","274","66.6","4.2"
"Дальневосточный","Еврейская Авт. обл.","77","58.0","5.2"
"Дальневосточный","Чукотский АО","30","74.8","1.9"
"Уральский","Курганская область","364","50.9","6.5"
"Уральский","Свердловская область","2087","57.8","3.5"
"Уральский","Тюменская область","727","57.2","3.9"
"Уральский","Ханты-Мансийский АО-Югра","911","67.5","2"
"Уральский","Ямало-Ненецкий АО","316","73.1","1.7"
"Уральский","Челябинская область","1785","61.7","3.1"
"Южный","Республика Адыгея","203","49.9","7.1"
"Южный","Республика Калмыкия","135","57.6","8.1"
"Южный","Республика Крым","912","55.2","5.0"
"Южный","Краснодарский край","2789","57.6","3.5"
"Южный","Астраханская область","507","58.7","7.0"
"Южный","Волгоградская область","1241","57.6","3.5"
"Южный","Ростовская область","2147","59.0","3.5"
"Южный","г. Севастополь","264","59.9","3.9"
"Приволжский","Республика Башкортостан","1918","57.2","3.4"
"Приволжский","Республика Марий Эл","323","56.8","3.6"
"Приволжский","Республика Мордовия","435","62.7","3.6"
"Приволжский","Республика Татарстан","2028","62.6","2.3"
"Приволжский","Удмуртская Республика","739","59.5","2.9"
"Приволжский","Чувашская Республика","594","58.2","3.2"
"Приволжский","Пермский край","1218","56.5","3.4"
"Приволжский","Кировская область","618","57.5","3.8"
"Приволжский","Нижегородская область","1732","62.5","4.1"
"Приволжский","Оренбургская область","925","56.8","3.5"
"Приволжский","Пензенская область","631","55.4","3.7"
"Приволжский","Самарская область","1665","61.6","2.7"
"Приволжский","Саратовская область","1189","56.9","3.4"
"Приволжский","Ульяновская область","615","57.4","4.2"
